state,district,taluk,village
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Anigeru
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Annampalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Anukulapalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Atchiyyapeta
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Badadam
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Bandakonda
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Bandamamillu
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Bhimavaram
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Bhimudupakalu
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Bodlanka
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chakirevula
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chaparatipalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chikkapugedda
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chinamunakanagedda
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chinavadisakarra
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chinna Addateegala
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chinnampadu
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chodavaram
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Choppanagadda
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Dabbapalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Dakodu
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,D. Ammapeta
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Darsinuthula @ Regulapadu
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Dhanayampalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,D. Kothuru
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,D. Krishnavaram
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Doddivaka
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Dokkapalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Doramamidi
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,D. Pinjarikonda
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,D. Ramavaram
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Ducherthi
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Duppalapalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Gadichinnampalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Gangampalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Gavarayyapeta
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Gondolu
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Gontuvanipalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Gottilapadu
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Jajipalem
Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Jalluru
